Row,CLD,N2,CL,Usefulness,Harmfulness,N1,LSC,LSR,DS,kDN
23,0.0,0.12630974594517,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
24,8.141004537165486e-11,0.1254047842891464,8.140998986050363e-11,0.02,0.18,0.0,0.0,0.0,0.0,0.0
25,2.7589042161935143e-14,0.0540594654119531,2.753353101070388e-14,0.02,0.0,0.0,0.0,0.0,0.0,0.0
26,4.996003610813204e-16,0.0656849242504501,4.440892098500626e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
27,9.96425164601078e-14,0.1097453043563773,9.969802761133907e-14,0.02,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0385238366239112,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0389070651693342,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
30,2.220446049250313e-16,0.0529204233633868,2.220446049250313e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
31,2.220446049250313e-16,0.0460660629220542,2.220446049250313e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
32,8.787415239908115e-14,0.1061515705211868,8.79296635503124e-14,0.02,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.1152763819095477,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.1095197173684713,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
35,5.551115123125783e-17,0.0464551549384998,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0605484155338003,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0859631263431738,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0613310867733781,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0434622637170584,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0243240714753483,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
41,5.551115123125783e-17,0.0407652753972297,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
42,1.1490808304870372e-14,0.2449523984730716,1.1546319456101628e-14,0.02,0.04,0.5,0.1020408163265306,0.1865120658044697,0.0,0.0
43,0.0,0.0505661682081424,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
44,8.625227199132722e-10,0.1274642041917411,8.625224978686673e-10,0.02,0.0,0.0,0.0,0.0,0.0,0.0
45,9.249601085059568e-12,0.0924193327552369,9.249490062757104e-12,0.02,0.0,0.0,0.0,0.0,0.0,0.0
46,8.881784197001252e-16,0.077126814281174,8.881784197001252e-16,0.02,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0537001740283417,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.041029466616934,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0215116038555414,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0448760566055655,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0850847457627118,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
52,0.0,0.0934475055845124,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
53,0.0,0.0807995083550378,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
54,0.0,0.1798297224337232,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
55,0.0,0.0902613546783093,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
56,0.0,0.1923866201518571,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
57,0.0,0.0917367179453102,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
58,0.0,0.1790268540281041,0.0,0.0909090909090909,4.545454545454546,0.5,0.6,0.3416081812713054,0.7959183673469388,0.2
59,0.0,0.0958930584635205,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
60,0.0,0.2032068830660931,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.7959183673469388,0.0
61,0.0,0.1597714999776854,0.0,0.0909090909090909,0.0,0.0,0.6,0.276858075667371,0.7959183673469388,0.2
